customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,complaints_last_3m,outages_last_3m,avg_download_mbps,late_payments_last_6m,promo_active,discount_pct,churn
C0001636,Female,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.09,970.31,1,0,192.3,1,No,0.0,1
C0001637,Female,0,No,Yes,15,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,52.18,808.38,0,1,43.5,0,No,0.0,0
C0001638,Male,1,No,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,90.29,866.38,0,0,197.3,0,No,0.0,1
C0001639,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),93.33,128.28,1,1,212.1,0,No,0.0,0
C0001640,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,60.53,1,0,0.0,0,No,0.0,0
C0001641,Male,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,75.21,2633.39,0,0,32.3,0,Yes,13.3,0
C0001642,Female,1,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,111.18,4839.6,1,0,165.1,0,Yes,13.0,0
C0001643,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.09,158.82,1,0,0.0,1,No,0.0,0
C0001644,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,112.81,7115.84,0,1,165.8,1,No,0.0,0
C0001645,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.93,2836.31,0,0,31.1,0,No,0.0,0
C0001646,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,63.43,2606.85,0,0,41.2,0,No,0.0,1
C0001647,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),109.35,966.83,1,0,167.3,0,Yes,7.7,0
C0001648,Male,0,Yes,No,65,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,66.77,4328.69,0,0,10.5,1,No,0.0,0
C0001649,Male,0,No,No,20,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),48.48,992.23,0,0,50.2,0,Yes,6.7,0
C0001650,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,88.46,203.42,1,1,75.3,0,Yes,1.4,0
C0001651,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),96.99,2572.93,1,0,144.8,1,No,0.0,0
C0001652,Female,0,No,No,23,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),60.83,1401.11,0,1,39.9,0,No,0.0,0
C0001653,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.27,1304.08,0,0,,0,No,0.0,0
C0001654,Female,0,No,Yes,64,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,92.26,5866.7,0,0,122.5,0,No,0.0,0
C0001655,Male,0,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),112.36,7340.56,1,0,127.4,0,No,0.0,1
C0001656,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,95.29,1513.64,0,0,164.7,0,Yes,5.3,0
C0001657,Female,0,Yes,Yes,19,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,56.68,1080.86,0,1,33.7,0,Yes,5.7,0
C0001658,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),125.01,2536.29,2,1,167.6,1,No,0.0,0
C0001659,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.58,1497.93,0,2,109.2,1,No,0.0,1
C0001660,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.82,297.7,0,0,0.0,0,No,0.0,0
C0001661,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),66.98,4321.21,1,1,189.5,0,No,0.0,0
C0001662,Male,1,No,Yes,2,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,57.66,162.31,0,1,25.4,0,No,0.0,1
C0001663,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),67.58,50.36,1,0,37.4,0,Yes,1.6,0
C0001664,Female,1,No,No,6,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),77.24,436.57,1,1,108.4,0,No,0.0,1
C0001665,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.26,132.3,0,0,0.0,0,Yes,16.9,0
C0001666,Male,0,No,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,97.58,5159.15,2,0,132.3,0,Yes,1.0,0
C0001667,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.36,1005.66,0,2,116.1,0,Yes,4.7,0
C0001668,Female,0,Yes,No,47,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.51,2585.97,0,1,40.6,0,No,0.0,0
C0001669,Female,0,Yes,Yes,48,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),58.37,2805.21,0,1,23.6,0,Yes,9.6,0
C0001670,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,88.99,5122.22,0,1,141.0,0,No,0.0,0
C0001671,Female,1,Yes,No,8,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),69.58,571.65,1,0,44.0,1,No,0.0,0
C0001672,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.61,1462.62,0,0,28.1,0,No,0.0,0
C0001673,Male,1,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.18,151.99,1,0,42.5,0,Yes,8.1,1
C0001674,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.11,6.98,1,1,0.0,0,Yes,16.7,0
C0001675,Male,0,No,Yes,20,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,78.6,1565.29,0,0,53.9,0,No,0.0,0
C0001676,Male,0,Yes,No,64,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,78.94,5014.81,1,0,51.9,0,No,0.0,0
C0001677,Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.73,5379.0,2,4,171.8,0,Yes,18.7,0
C0001678,Female,1,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,95.93,6104.93,0,2,91.5,0,No,0.0,0
C0001679,Male,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),104.56,4190.27,1,0,74.1,0,Yes,2.8,0
C0001680,Male,1,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.52,555.32,0,1,268.2,0,Yes,22.0,1
C0001681,Male,1,No,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,122.82,6875.38,2,0,191.5,1,No,0.0,0
C0001682,Male,0,No,Yes,51,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.28,4133.52,0,1,161.7,0,No,0.0,0
C0001683,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.59,815.39,0,1,0.0,2,No,0.0,0
C0001684,Female,1,Yes,No,44,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.57,3058.37,1,1,25.7,0,Yes,12.8,0
C0001685,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.67,1481.92,0,0,158.8,0,No,0.0,0
C0001686,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.31,820.06,1,0,121.8,0,No,0.0,0
C0001687,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,37.21,149.64,0,1,32.3,2,No,0.0,0
C0001688,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),100.15,6281.69,0,0,165.9,0,No,0.0,0
C0001689,Male,0,No,No,53,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,81.09,4291.43,0,1,148.9,2,No,0.0,0
C0001690,Female,0,No,No,27,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),26.54,747.53,0,0,46.9,1,No,0.0,0
C0001691,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,105.25,1808.85,1,1,83.7,2,No,0.0,0
C0001692,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,90.21,1225.5,0,0,199.5,1,No,0.0,0
C0001693,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),129.59,4043.32,2,1,184.3,0,No,0.0,1
C0001694,Male,0,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.39,151.41,1,0,28.6,0,No,0.0,0
C0001695,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),61.52,3261.12,0,3,130.2,0,No,0.0,0
C0001696,Male,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.01,16.05,0,0,88.7,1,No,0.0,0
C0001697,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,115.81,2335.69,0,0,218.4,0,Yes,5.3,1
C0001698,Male,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,65.94,1649.46,1,0,18.1,1,No,0.0,0
C0001699,Male,0,No,No,57,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.75,3168.31,0,1,57.9,0,Yes,1.0,0
C0001700,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.9,50.17,0,0,0.0,1,No,0.0,0
C0001701,Male,0,Yes,No,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),72.4,3649.24,0,0,34.0,0,No,0.0,0
C0001702,Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),92.93,752.45,0,1,196.8,0,Yes,3.9,0
C0001703,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,330.2,0,0,0.0,0,No,0.0,0
C0001704,Male,0,No,No,17,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),75.56,1320.16,0,1,33.5,0,No,0.0,0
C0001705,Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,80.56,3205.87,0,3,184.7,0,No,0.0,0
C0001706,Male,0,Yes,No,19,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),84.49,1603.63,0,0,159.4,0,Yes,15.3,1
C0001707,Female,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),107.21,6559.16,1,1,138.1,0,No,0.0,0
C0001708,Female,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,626.19,0,0,0.0,0,No,0.0,0
C0001709,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.61,3412.35,1,0,134.6,0,Yes,1.0,1
C0001710,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.76,1538.53,0,0,168.7,2,Yes,9.6,1
C0001711,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.31,2584.57,0,0,131.3,2,No,0.0,0
C0001712,Female,0,Yes,No,59,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,52.02,3114.69,0,1,58.8,1,Yes,5.9,0
C0001713,Male,0,Yes,No,56,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),70.52,3950.93,0,0,43.0,0,No,0.0,0
C0001714,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,0.0,1,0,0.0,0,Yes,17.5,0
C0001715,Female,0,Yes,No,24,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,46.05,1137.84,0,0,36.4,2,Yes,14.4,0
C0001716,Male,0,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),82.28,5733.29,0,0,41.7,0,No,0.0,0
C0001717,Female,0,Yes,Yes,16,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,64.76,1049.04,0,1,41.1,1,No,0.0,0
C0001718,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.16,71.0,0,0,0.0,0,No,0.0,1
C0001719,Male,0,Yes,Yes,18,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,64.24,1160.13,0,0,39.7,1,No,0.0,0
C0001720,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,117.53,503.27,1,1,173.5,0,No,0.0,0
C0001721,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,104.4,638.02,0,1,231.4,1,Yes,5.2,1
C0001722,Female,1,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.38,1205.59,1,0,210.1,2,No,0.0,0
C0001723,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,98.34,0.0,1,0,44.3,1,No,0.0,0
C0001724,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,65.84,852.0,1,0,207.2,0,No,0.0,1
C0001725,Male,1,Yes,No,20,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.61,1281.08,0,0,28.8,0,No,0.0,0
C0001726,Female,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,80.13,1435.8,0,1,202.3,0,Yes,20.7,0
C0001727,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,346.26,1,0,0.0,1,Yes,10.7,0
C0001728,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),112.38,318.6,1,0,71.1,0,No,0.0,0
C0001729,Female,0,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,99.47,4500.59,0,1,182.2,1,No,0.0,0
C0001730,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,66.96,4314.43,0,0,228.1,0,Yes,17.8,0
C0001731,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),114.49,390.61,2,0,177.8,0,No,0.0,0
C0001732,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.21,632.59,0,1,0.0,1,Yes,15.3,0
C0001733,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),82.31,5937.63,1,0,200.7,0,Yes,22.0,0
C0001734,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,93.56,3299.68,1,0,108.1,1,No,0.0,0
C0001735,Male,0,Yes,No,0,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.27,19.67,0,0,38.2,0,Yes,10.8,0
C0001736,Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.81,6802.75,1,0,184.7,0,Yes,9.7,1
C0001737,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),72.96,181.69,0,0,253.7,0,Yes,13.9,0
C0001738,Female,0,No,Yes,42,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.12,2749.25,0,1,212.0,0,No,0.0,1
C0001739,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),92.72,4892.05,0,0,163.8,0,No,0.0,0
C0001740,Male,0,Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,87.8,5664.85,0,0,41.5,0,No,0.0,0
C0001741,Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),41.33,2124.36,0,1,0.0,0,No,0.0,0
C0001742,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.1,5282.88,0,1,154.3,0,No,0.0,0
C0001743,Female,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,102.48,817.58,1,1,108.1,0,Yes,11.4,0
C0001744,Male,1,Yes,No,2,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,58.67,120.29,3,0,58.0,1,No,0.0,0
C0001745,Male,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),96.71,298.22,1,1,137.8,0,No,0.0,1
C0001746,Male,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,72.21,4561.13,0,2,122.9,0,Yes,16.8,0
C0001747,Male,0,Yes,No,36,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.44,3814.7,1,1,151.0,0,No,0.0,0
C0001748,Male,0,No,No,6,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,64.51,401.58,0,0,46.4,1,Yes,9.5,0
C0001749,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,925.59,1,0,0.0,0,No,0.0,0
C0001750,Female,0,Yes,Yes,11,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,51.09,587.92,0,0,42.2,0,Yes,15.4,1
C0001751,Male,1,Yes,No,14,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),71.25,1000.48,0,0,27.7,0,No,0.0,0
C0001752,Female,0,No,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.83,1249.34,1,0,0.0,0,Yes,11.7,0
C0001753,Male,1,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),98.73,5428.58,0,1,113.0,1,No,0.0,1
C0001754,Male,1,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.21,49.22,2,1,0.0,1,No,0.0,0
C0001755,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.91,277.51,0,2,0.0,1,No,0.0,0
C0001756,Male,1,Yes,No,72,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),78.98,5670.79,1,0,208.4,0,Yes,12.0,0
C0001757,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.96,112.75,0,0,0.0,0,No,0.0,0
C0001758,Male,0,No,No,35,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,52.94,1846.75,1,2,41.4,1,No,0.0,0
C0001759,Male,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,408.35,0,0,0.0,1,No,0.0,0
C0001760,Male,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,99.43,3891.26,0,0,218.1,0,No,0.0,0
C0001761,Female,0,No,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.58,1535.85,0,1,0.0,3,Yes,17.5,0
C0001762,Female,1,No,No,4,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.67,294.2,0,2,129.3,0,No,0.0,0
C0001763,Female,0,No,No,57,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),109.67,6250.74,2,0,158.8,2,No,0.0,1
C0001764,Female,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.04,254.74,0,0,0.0,0,Yes,9.2,0
C0001765,Female,0,Yes,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,62.43,2128.99,1,2,22.7,0,No,0.0,0
C0001766,Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),104.91,7320.29,0,1,155.2,0,No,0.0,0
C0001767,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.01,1164.57,0,0,0.0,1,No,0.0,1
C0001768,Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,1257.64,2,0,0.0,0,No,0.0,0
C0001769,Female,1,No,Yes,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.74,3020.1,2,1,88.2,0,No,0.0,0
C0001770,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.25,208.79,0,1,148.1,0,No,0.0,1
C0001771,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.46,3732.8,1,0,45.7,1,No,0.0,1
C0001772,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.51,5664.41,0,1,124.9,0,No,0.0,0
C0001773,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,1110.0,0,1,0.0,0,Yes,8.1,0
C0001774,Male,1,No,No,64,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,80.83,5243.52,0,0,57.6,1,No,0.0,0
C0001775,Male,0,Yes,No,34,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),64.81,2203.77,0,1,38.5,0,No,0.0,0
C0001776,Male,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),70.32,82.65,0,0,39.6,0,No,0.0,0
C0001777,Male,0,No,No,40,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,63.92,2547.62,2,0,21.2,0,No,0.0,0
C0001778,Female,1,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),101.67,3705.38,0,1,132.7,0,No,0.0,0
C0001779,Female,0,No,No,12,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.77,724.62,1,0,19.9,1,Yes,22.7,0
C0001780,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,90.77,2062.66,0,0,172.1,1,No,0.0,1
C0001781,Female,0,No,Yes,20,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.13,1729.2,2,1,24.1,0,Yes,13.1,0
C0001782,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.0,1907.81,3,1,0.0,1,Yes,1.0,0
C0001783,Female,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.38,4234.88,0,2,186.6,0,No,0.0,0
C0001784,Female,0,No,No,2,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),66.97,195.19,1,1,172.3,0,No,0.0,0
C0001785,Female,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.86,154.09,1,0,0.0,0,No,0.0,0
